Dietary Preference,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan,Budget Preferences
veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Boiled eggs,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Boiled eggs,low
veg,Multigrain toast with tofu,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Multigrain toast with tofu; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
vegan,Protein shake with banana,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Turkey chili; Nut mix with raisins,low
veg,Upma with vegetables,paneer salad with whole grain bread,Grilled paneer with salad,Fruit smoothie,Upma with vegetables; paneer salad with whole grain bread; Grilled paneer with salad; Fruit smoothie,low
veg,Paratha with curd,Baked tofu with quinoa,High-protein pasta,Granola bars,Paratha with curd; Baked tofu with quinoa; High-protein pasta; Granola bars,high
veg,Protein shake with banana,paneer curry with brown rice,High-protein pasta,Granola bars,Protein shake with banana; paneer curry with brown rice; High-protein pasta; Granola bars,low
vegan,Paratha with curd,Baked fish with quinoa,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Baked fish with quinoa; Stuffed paneer chapati with salad; Granola bars,high
non-veg,Paratha with curd,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
non-veg,Upma with vegetables,Lentil curry with rice,Grilled chicken with salad,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Grilled chicken with salad; Nuts and dry fruits,low
non-veg,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Granola bars,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Granola bars,low
veg,tofu sandwich,Rajma chawal with salad,High-protein pasta,Banana and peanut butter,tofu sandwich; Rajma chawal with salad; High-protein pasta; Banana and peanut butter,low
non-veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Boiled eggs,low
non-veg,Paratha with curd,Rajma chawal with salad,Turkey chili,Granola bars,Paratha with curd; Rajma chawal with salad; Turkey chili; Granola bars,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie,low
non-veg,Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,low
veg,Multigrain toast with tofu,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Multigrain toast with tofu; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
non-veg,Paratha with curd,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Paratha with curd; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,high
non-veg,Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Boiled eggs,low
veg,Fruit and chia seeds,Zucchini noodles with tomato sauce,Soup with whole grain toast,Roasted seeds,Fruit and chia seeds; Zucchini noodles with tomato sauce; Soup with whole grain toast; Roasted seeds,high
veg,tofu sandwich,paneer curry with brown rice,tofu chili,Nut mix with raisins,tofu sandwich; paneer curry with brown rice; tofu chili; Nut mix with raisins,low
veg,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
veg,Upma with vegetables,paneer salad with whole grain bread,Vegetable biryani,Boiled tofu,Upma with vegetables; paneer salad with whole grain bread; Vegetable biryani; Boiled tofu,low
veg,Multigrain toast with tofu,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Multigrain toast with tofu; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
vegan,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Granola bars,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Granola bars,low
veg,Paratha with curd,Baked tofu with quinoa,High-protein pasta,Nut mix with raisins,Paratha with curd; Baked tofu with quinoa; High-protein pasta; Nut mix with raisins,low
vegan,Egg sandwich,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Egg sandwich; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
veg,Fruit and chia seeds,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Apple slices with peanut butter,Fruit and chia seeds; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Apple slices with peanut butter,high
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Nuts and dry fruits,low
non-veg,Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
vegan,Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,tofu sandwich,paneer curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,tofu sandwich; paneer curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
non-veg,Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie,high
vegan,Oats with almond milk,Brown rice with spinach curry,Soup with whole grain toast,Roasted seeds,Oats with almond milk; Brown rice with spinach curry; Soup with whole grain toast; Roasted seeds,low
veg,Oats with banana and nuts,Lentil curry with rice,Grilled paneer with salad,Boiled tofu,Oats with banana and nuts; Lentil curry with rice; Grilled paneer with salad; Boiled tofu,low
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,Upma with vegetables,Lentil curry with rice,Grilled paneer with salad,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Grilled paneer with salad; Nuts and dry fruits,low
veg,Upma with vegetables,Paneer wrap with veggies,Grilled paneer with salad,Nuts and dry fruits,Upma with vegetables; Paneer wrap with veggies; Grilled paneer with salad; Nuts and dry fruits,low
veg,Protein shake with banana,Rajma chawal with salad,tofu chili,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; tofu chili; Nut mix with raisins,low
non-veg,Protein shake with banana,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Paratha with curd,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Light tofu stir-fry,Roasted seeds,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Light tofu stir-fry; Roasted seeds,low
vegan,Fruit and chia seeds,Grilled vegetables with lentils,Light tofu stir-fry,Apple slices with peanut butter,Fruit and chia seeds; Grilled vegetables with lentils; Light tofu stir-fry; Apple slices with peanut butter,low
vegan,Egg sandwich,Rajma chawal with salad,High-protein pasta,Granola bars,Egg sandwich; Rajma chawal with salad; High-protein pasta; Granola bars,low
vegan,Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie,high
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits,low
non-veg,Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,low
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
vegan,Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Low-fat yogurt with berries,Grilled vegetables with lentils,Light tofu stir-fry,Apple slices with peanut butter,Low-fat yogurt with berries; Grilled vegetables with lentils; Light tofu stir-fry; Apple slices with peanut butter,low
veg,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Banana and peanut butter,low
vegan,Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs,high
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Boiled eggs,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Boiled eggs,low
veg,Protein shake with banana,paneer curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; paneer curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Oats with almond milk,Grilled vegetables with lentils,Light tofu stir-fry,Roasted seeds,Oats with almond milk; Grilled vegetables with lentils; Light tofu stir-fry; Roasted seeds,low
non-veg,Egg sandwich,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; High-protein pasta; Nut mix with raisins,high
non-veg,Egg sandwich,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Egg sandwich; Chicken curry with brown rice; Turkey chili; Banana and peanut butter,low
veg,Paratha with curd,paneer curry with brown rice,High-protein pasta,Granola bars,Paratha with curd; paneer curry with brown rice; High-protein pasta; Granola bars,low
vegan,Paratha with curd,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Paratha with curd; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,high
non-veg,Egg sandwich,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; High-protein pasta; Nut mix with raisins,high
veg,Upma with vegetables,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled tofu,Upma with vegetables; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled tofu,low
vegan,Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits,low
non-veg,Paratha with curd,Baked fish with quinoa,Turkey chili,Granola bars,Paratha with curd; Baked fish with quinoa; Turkey chili; Granola bars,high
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie,low
non-veg,Oats with almond milk,Zucchini noodles with tomato sauce,Quinoa salad with steamed veggies,Cucumber sticks,Oats with almond milk; Zucchini noodles with tomato sauce; Quinoa salad with steamed veggies; Cucumber sticks,high
vegan,Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Nuts and dry fruits,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits,low
non-veg,Oats with banana and nuts,Lentil curry with rice,Grilled chicken with salad,Boiled eggs,Oats with banana and nuts; Lentil curry with rice; Grilled chicken with salad; Boiled eggs,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
vegan,Low-fat yogurt with berries,Grilled vegetables with lentils,Soup with whole grain toast,Roasted seeds,Low-fat yogurt with berries; Grilled vegetables with lentils; Soup with whole grain toast; Roasted seeds,low
vegan,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie,low
veg,Oats with banana and nuts,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled tofu,Oats with banana and nuts; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled tofu,low
vegan,Oats with almond milk,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Cucumber sticks,low
veg,Paratha with curd,paneer curry with brown rice,tofu chili,Granola bars,Paratha with curd; paneer curry with brown rice; tofu chili; Granola bars,low
non-veg,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Granola bars,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Granola bars,low
non-veg,Oats with almond milk,Brown rice with spinach curry,Light tofu stir-fry,Cucumber sticks,Oats with almond milk; Brown rice with spinach curry; Light tofu stir-fry; Cucumber sticks,low
non-veg,Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie,high
vegan,Upma with vegetables,Lentil curry with rice,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Lentil curry with rice; Grilled chicken with salad; Boiled eggs,low
veg,tofu sandwich,Baked tofu with quinoa,High-protein pasta,Nut mix with raisins,tofu sandwich; Baked tofu with quinoa; High-protein pasta; Nut mix with raisins,low
veg,Upma with vegetables,paneer salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; paneer salad with whole grain bread; Vegetable biryani; Nuts and dry fruits,low
vegan,Egg sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,Paratha with curd,paneer curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,Paratha with curd; paneer curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Low-fat yogurt with berries,Brown rice with spinach curry,Soup with whole grain toast,Cucumber sticks,Low-fat yogurt with berries; Brown rice with spinach curry; Soup with whole grain toast; Cucumber sticks,low
non-veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,Multigrain toast with tofu,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Multigrain toast with tofu; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
vegan,Paratha with curd,Baked fish with quinoa,High-protein pasta,Granola bars,Paratha with curd; Baked fish with quinoa; High-protein pasta; Granola bars,high
veg,Protein shake with banana,Rajma chawal with salad,tofu chili,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; tofu chili; Banana and peanut butter,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie,low
vegan,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
vegan,Oats with banana and nuts,Lentil curry with rice,Grilled chicken with salad,Nuts and dry fruits,Oats with banana and nuts; Lentil curry with rice; Grilled chicken with salad; Nuts and dry fruits,low
vegan,Egg sandwich,Chicken curry with brown rice,Turkey chili,Granola bars,Egg sandwich; Chicken curry with brown rice; Turkey chili; Granola bars,low
veg,Multigrain toast with tofu,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Multigrain toast with tofu; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
vegan,Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Boiled eggs,high
veg,Paratha with curd,Rajma chawal with salad,High-protein pasta,Granola bars,Paratha with curd; Rajma chawal with salad; High-protein pasta; Granola bars,low
veg,Upma with vegetables,Lentil curry with rice,Grilled paneer with salad,Boiled tofu,Upma with vegetables; Lentil curry with rice; Grilled paneer with salad; Boiled tofu,low
veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
vegan,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Nut mix with raisins,low
non-veg,Paratha with curd,Baked fish with quinoa,High-protein pasta,Granola bars,Paratha with curd; Baked fish with quinoa; High-protein pasta; Granola bars,high
veg,Oats with almond milk,Grilled vegetables with lentils,Soup with whole grain toast,Apple slices with peanut butter,Oats with almond milk; Grilled vegetables with lentils; Soup with whole grain toast; Apple slices with peanut butter,low
non-veg,Upma with vegetables,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,low
non-veg,Low-fat yogurt with berries,Grilled vegetables with lentils,Soup with whole grain toast,Cucumber sticks,Low-fat yogurt with berries; Grilled vegetables with lentils; Soup with whole grain toast; Cucumber sticks,low
non-veg,Egg sandwich,Chicken curry with brown rice,Turkey chili,Granola bars,Egg sandwich; Chicken curry with brown rice; Turkey chili; Granola bars,low
vegan,Protein shake with banana,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
non-veg,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Quinoa salad with steamed veggies,Roasted seeds,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Quinoa salad with steamed veggies; Roasted seeds,high
vegan,Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
vegan,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Egg sandwich,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Fruit and chia seeds,Brown rice with spinach curry,Quinoa salad with steamed veggies,Roasted seeds,Fruit and chia seeds; Brown rice with spinach curry; Quinoa salad with steamed veggies; Roasted seeds,low
veg,Paratha with curd,paneer curry with brown rice,High-protein pasta,Granola bars,Paratha with curd; paneer curry with brown rice; High-protein pasta; Granola bars,low
vegan,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Oats with almond milk,Brown rice with spinach curry,Quinoa salad with steamed veggies,Cucumber sticks,Oats with almond milk; Brown rice with spinach curry; Quinoa salad with steamed veggies; Cucumber sticks,low
non-veg,Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Upma with vegetables,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,low
non-veg,Egg sandwich,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Egg sandwich; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
non-veg,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Granola bars,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Granola bars,low
non-veg,Paratha with curd,Baked fish with quinoa,Turkey chili,Granola bars,Paratha with curd; Baked fish with quinoa; Turkey chili; Granola bars,high
vegan,Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Grilled chicken with salad,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Grilled chicken with salad; Nuts and dry fruits,low
veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Multigrain toast with egg,Chicken salad with whole grain bread,Grilled chicken with salad,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Grilled chicken with salad; Boiled eggs,low
veg,tofu sandwich,Baked tofu with quinoa,tofu chili,Nut mix with raisins,tofu sandwich; Baked tofu with quinoa; tofu chili; Nut mix with raisins,low
veg,Upma with vegetables,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled tofu,Upma with vegetables; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled tofu,low
veg,tofu sandwich,Rajma chawal with salad,High-protein pasta,Granola bars,tofu sandwich; Rajma chawal with salad; High-protein pasta; Granola bars,low
non-veg,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Low-fat yogurt with berries,Grilled vegetables with lentils,Light tofu stir-fry,Apple slices with peanut butter,Low-fat yogurt with berries; Grilled vegetables with lentils; Light tofu stir-fry; Apple slices with peanut butter,low
non-veg,Egg sandwich,Chicken curry with brown rice,High-protein pasta,Banana and peanut butter,Egg sandwich; Chicken curry with brown rice; High-protein pasta; Banana and peanut butter,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
veg,Protein shake with banana,paneer curry with brown rice,High-protein pasta,Banana and peanut butter,Protein shake with banana; paneer curry with brown rice; High-protein pasta; Banana and peanut butter,low
non-veg,Low-fat yogurt with berries,Grilled vegetables with lentils,Soup with whole grain toast,Cucumber sticks,Low-fat yogurt with berries; Grilled vegetables with lentils; Soup with whole grain toast; Cucumber sticks,low
vegan,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Quinoa salad with steamed veggies,Cucumber sticks,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Quinoa salad with steamed veggies; Cucumber sticks,high
veg,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
non-veg,Oats with almond milk,Grilled vegetables with lentils,Soup with whole grain toast,Apple slices with peanut butter,Oats with almond milk; Grilled vegetables with lentils; Soup with whole grain toast; Apple slices with peanut butter,low
non-veg,Paratha with curd,Chicken curry with brown rice,High-protein pasta,Banana and peanut butter,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Banana and peanut butter,low
vegan,Multigrain toast with egg,Chicken salad with whole grain bread,Grilled chicken with salad,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Grilled chicken with salad; Boiled eggs,low
veg,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,Protein shake with banana,Baked tofu with quinoa,High-protein pasta,Granola bars,Protein shake with banana; Baked tofu with quinoa; High-protein pasta; Granola bars,low
non-veg,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
non-veg,Oats with banana and nuts,Lentil curry with rice,Grilled chicken with salad,Boiled eggs,Oats with banana and nuts; Lentil curry with rice; Grilled chicken with salad; Boiled eggs,low
veg,Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled tofu,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled tofu,low
vegan,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Banana and peanut butter,low
veg,Paratha with curd,Baked tofu with quinoa,High-protein pasta,Granola bars,Paratha with curd; Baked tofu with quinoa; High-protein pasta; Granola bars,high
non-veg,Multigrain toast with egg,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs,low
non-veg,Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie,low
veg,Low-fat yogurt with berries,Grilled vegetables with lentils,Light tofu stir-fry,Roasted seeds,Low-fat yogurt with berries; Grilled vegetables with lentils; Light tofu stir-fry; Roasted seeds,low
veg,Upma with vegetables,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
non-veg,Oats with almond milk,Grilled vegetables with lentils,Soup with whole grain toast,Roasted seeds,Oats with almond milk; Grilled vegetables with lentils; Soup with whole grain toast; Roasted seeds,low
non-veg,Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Paratha with curd,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
veg,Upma with vegetables,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie,low
non-veg,Paratha with curd,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Paratha with curd; Chicken curry with brown rice; Turkey chili; Banana and peanut butter,low
non-veg,Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
